"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03","lga_11_age","sha_08_age","pr_01_age","pr_02_age","pr_03_age","shock_03_age","lga_11_box","pr_01_box","pr_02_box","pr_03_box","sha_08_box","shock_03_box","add_ind"
"C03","933000120138652","F","F314",0.75,0,0,1,0,12,115,94,100,122,127,130,"MED1110-14","MED1110-14","MED1110-14","MED1110-14","MED1110-14","MED1110-6",-1.67864903150772
"C03","933000120138654","F","F321",91,0.333333333333333,0,11,15,31,110,89,95,117,122,125,"K1-5","K1-5","K1-5","K1-5","K1-5","MED1110-5",0.229132134983533
"C03","933000120138655","M","M357",6.25,45.6666666666667,10,11,13,21,110,89,95,117,122,125,"K3-2","K3-2","K3-2","K3-2","K3-2","MED1110-15",1.17901485532137
"C04","933000120138387","F","F415",75.5,2.33333333333333,1,14,13,24,92,72,77,99,102,108,"MED1110-15","MED1110-15","MED1110-15","MED1110-15","MED1110-15","MED1110-4",0.540215295418171
"C04","933000120138390","F","F417",55.25,0.333333333333333,1,10,12,9,90,70,75,97,100,106,"K1-1","K1-1","K1-1","K1-1","K1-1","MED1110-6",-1.09387308436389
"C04","933000120138391","F","F403",73.75,1.66666666666667,0,14,12,23,88,68,73,95,98,104,"MED1110-3","MED1110-3","MED1110-3","MED1110-3","MED1110-3","MED1110-2",0.361694032324171
"C04","933000120138393","M","M465",NA,15,6,NA,NA,NA,NA,72,77,NA,NA,NA,NA,"Q3-4",NA,NA,"Q3-4",NA,NA
"C04","933000120138396","F","F418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C04","933000120138399","M","M466",98,0.666666666666667,1,10,9,10,90,70,75,97,100,106,"Q3-5","Q3-5","Q3-5","Q3-5","Q3-5","MED1110-14",0.236821816063215
"C04","933000120138402","M","M463",83.25,15,9,7,10,27,88,68,73,95,98,104,"Q3-2","Q3-2","Q3-2","Q3-2","Q3-2","MED1110-13",0.549083508801757
"C04","933000120138405","F","F416",77.25,0,0,12,13,20,92,72,77,99,102,108,"MED1110-16","MED1110-16","MED1110-16","MED1110-16","MED1110-16","MED1110-5",-0.13775915268089
"C04","933000120138582","F","F406",13,55.6666666666667,7,12,8,21,81,61,66,88,91,97,"MED1110-6","MED1110-6","MED1110-6","MED1110-6","MED1110-6","MED1110-4",0.205113794678997
"C04","933000120138583","F","F424",11.75,38.6666666666667,10,16,14,26,83,63,68,90,93,99,"K2-14","K2-14","K2-14","K2-14","K2-14","MED1110-3",0.907257063120345
